./nestedMerge/EQ_multipleBoundEXTRA_ultra_prime_sum/libA: equiv,42.5806  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_multipleEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_multipleEQ_is_prime2/libA: equiv,1.1181   ; unknown,0.0000   ; equiv,0.1359  
./nestedMerge/EQ_multipleEQ_odd/libA: equiv,12.2281  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_multipleEQ_pos/libA: equiv,11.4497  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_multipleEQ_pos2/libA: equiv,11.3340  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_multipleEXTRA_ultra_prime_sum/libA: equiv,77.1264  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_oddEQ_Add/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_Const/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_LoopMult20/libA: equiv,1.5868   ; unknown,0.0000   ; equiv,0.3383  
./nestedMerge/EQ_oddEQ_LoopUnreach20/libA: equiv,0.9699   ; unknown,0.0000   ; equiv,0.1274  
./nestedMerge/EQ_oddEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_divide/libA: equiv,0.1617   ; unknown,0.0000   ; equiv,0.1369  
./nestedMerge/EQ_oddEQ_getSign2/libA: equiv,0.8916   ; unknown,0.0000   ; equiv,0.1425  
./nestedMerge/EQ_oddEQ_is_prime1/libA: equiv,0.9646   ; unknown,0.0000   ; equiv,0.0874  
./nestedMerge/EQ_oddEQ_is_prime2/libA: equiv,1.0613   ; unknown,0.0000   ; not equiv,0.6742  
./nestedMerge/EQ_oddEQ_is_prime3/libA: equiv,24.0126  ; unknown,0.0000   ; equiv,0.7226  
./nestedMerge/EQ_oddEQ_ltfive/libA: not equiv,0.4456   ; unknown,0.0000   ; not equiv,0.3110  
./nestedMerge/EQ_oddEQ_ltfiveBound/libA: equiv,1.2007   ; unknown,0.0000   ; equiv,0.2683  
./nestedMerge/EQ_oddEQ_multiple/libA: not equiv,0.4393   ; unknown,0.0000   ; not equiv,0.2185  
./nestedMerge/EQ_oddEQ_multipleBound/libA: equiv,1.0069   ; unknown,0.0000   ; equiv,0.3214  
