./nestedMerge/EQ_oddEQ_multipleBound/libA: equiv,2.8214   ; equiv,2.8338   ; equiv,0.9554   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_odd/libA: equiv,15.6975  ; equiv,15.8258  ; equiv,13.9711  ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_one/libA: not equiv,1.8298   ; not equiv,2.0336   ; not equiv,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_oneBound/libA: equiv,1.0946   ; equiv,1.3042   ; equiv,0.7484   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_oneN2/libA: equiv,3.3275   ; equiv,4.2087   ; equiv,1.9024   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_pos/libA: equiv,12.4133  ; equiv,12.4838  ; equiv,12.0520  ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_pos2/libA: equiv,0.3304   ; equiv,0.5495   ; equiv,0.3369   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_pos3/libA: equiv,1.3947   ; equiv,1.3064   ; equiv,0.5613   ; unknown,0.0000  
./nestedMerge/EQ_oddEXTRA_ultra_prime_sum/libA: equiv,83.7393  ; equiv,61.3858  ; equiv,114.2749 ; unknown,0.0000  
./nestedMerge/EQ_oddNEQ_LoopMult20/libA: equiv,2.1359   ; equiv,2.0560   ; equiv,1.3875   ; unknown,0.0000  
./nestedMerge/EQ_oddNEQ_LoopUnreach20/libA: not equiv,0.4727   ; not equiv,0.4543   ; not equiv,0.1744   ; unknown,0.0000  
./nestedMerge/EQ_oddNEQ_getSign/libA: not equiv,0.4321   ; not equiv,0.4374   ; not equiv,0.1826   ; unknown,0.0000  
./nestedMerge/EQ_oneBoundEQ_LoopMult20/libA: equiv,1.0873   ; equiv,1.4512   ; equiv,0.8807   ; unknown,0.0000  
./nestedMerge/EQ_oneBoundEQ_UnchLoop/libA: equiv,0.2988   ; equiv,0.4216   ; equiv,0.1635   ; unknown,0.0000  
./nestedMerge/EQ_oneBoundEQ_odd/libA: equiv,24.0866  ; equiv,25.8485  ; equiv,24.0001  ; unknown,0.0000  
./nestedMerge/EQ_oneBoundEQ_pos/libA: equiv,26.6130  ; equiv,27.1784  ; equiv,25.2306  ; unknown,0.0000  
./nestedMerge/EQ_oneBoundEQ_pos2/libA: equiv,0.4202   ; equiv,0.6102   ; equiv,0.1956   ; unknown,0.0000  
./nestedMerge/EQ_oneBoundEXTRA_ultra_prime_sum/libA: equiv,158.1737 ; equiv,83.4034  ; equiv,154.6123 ; unknown,0.0000  
./nestedMerge/EQ_oneEQ_LoopMult20/libA: equiv,2.5435   ; equiv,2.9372   ; equiv,2.4531   ; unknown,0.0000  
./nestedMerge/EQ_oneEQ_UnchLoop/libA: equiv,0.2252   ; equiv,0.3229   ; equiv,0.1465   ; unknown,0.0000  
./nestedMerge/EQ_oneEQ_odd/libA: equiv,13.6626  ; equiv,14.2319  ; equiv,13.6990  ; unknown,0.0000  
./nestedMerge/EQ_oneEQ_pos/libA: equiv,14.3615  ; equiv,15.0511  ; equiv,14.4281  ; unknown,0.0000  
./nestedMerge/EQ_oneEQ_pos2/libA: equiv,0.3614   ; equiv,0.5004   ; equiv,0.1595   ; unknown,0.0000  
./nestedMerge/EQ_oneEXTRA_ultra_prime_sum/libA: equiv,157.0155 ; equiv,100.1817 ; equiv,170.8813 ; unknown,0.0000  
./nestedMerge/EQ_oneN2EQ_LoopMult20/libA: equiv,2.5317   ; equiv,2.9106   ; equiv,2.4373   ; unknown,0.0000  
./nestedMerge/EQ_oneN2EQ_UnchLoop/libA: equiv,0.2286   ; equiv,0.3738   ; equiv,0.1409   ; unknown,0.0000  
./nestedMerge/EQ_oneN2EQ_odd/libA: equiv,13.6932  ; equiv,14.2147  ; equiv,13.6669  ; unknown,0.0000  
./nestedMerge/EQ_oneN2EQ_pos/libA: equiv,14.4047  ; equiv,15.1071  ; equiv,14.4838  ; unknown,0.0000  
./nestedMerge/EQ_oneN2EQ_pos2/libA: equiv,0.3635   ; equiv,0.5339   ; equiv,0.1554   ; unknown,0.0000  
./nestedMerge/EQ_oneN2EXTRA_ultra_prime_sum/libA: equiv,145.6411 ; equiv,88.9836  ; equiv,160.2015 ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_Add/libA: equiv,0.2631   ; equiv,0.3590   ; equiv,0.1280   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_Const/libA: equiv,0.2003   ; equiv,0.3515   ; equiv,0.1270   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_LoopMult20/libA: equiv,0.4559   ; equiv,0.7248   ; equiv,0.2581   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_LoopUnreach20/libA: equiv,0.4310   ; equiv,0.7545   ; equiv,0.2529   ; unknown,0.0000  
