./nestedMerge/EQ_is_prime2NEQ_LoopUnreach20/libA: not equiv,0.8072   ; unknown,0.0000   ; not equiv,0.1654   ; not equiv,0.0400  
./nestedMerge/EQ_is_prime2NEQ_getSign/libA: equiv,0.4293   ; unknown,0.0000   ; equiv,0.1577   ; equiv,0.0200  
./nestedMerge/EQ_is_prime3EQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_is_prime3EQ_is_prime2/libA: equiv,6.7412   ; unknown,0.0000   ; equiv,0.7397   ; unknown,0.0200  
./nestedMerge/EQ_is_prime3EQ_odd/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_is_prime3EQ_pos/libA: equiv,22.4303  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_is_prime3EQ_pos2/libA: equiv,0.6769   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_is_prime3EXTRA_ultra_prime_sum/libA: equiv,76.5888  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_ltfiveBoundEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_ltfiveBoundEQ_is_prime2/libA: equiv,1.1585   ; unknown,0.0000   ; equiv,0.4626   ; unknown,0.0300  
./nestedMerge/EQ_ltfiveBoundEQ_odd/libA: equiv,1.9528   ; unknown,0.0000   ; equiv,1.5426   ; unknown,0.0200  
./nestedMerge/EQ_ltfiveBoundEQ_pos/libA: equiv,26.8100  ; unknown,0.0000   ; equiv,31.4977  ; unknown,0.0200  
./nestedMerge/EQ_ltfiveBoundEQ_pos2/libA: equiv,0.5523   ; unknown,0.0000   ; equiv,31.5578  ; not equiv,0.0800  
./nestedMerge/EQ_ltfiveBoundEXTRA_ultra_prime_sum/libA: equiv,141.8260 ; unknown,0.0000   ; equiv,165.8168 ; timeout,300.0000
./nestedMerge/EQ_ltfiveEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_ltfiveEQ_is_prime2/libA: equiv,6.6877   ; unknown,0.0000   ; equiv,1.5316   ; unknown,0.0200  
./nestedMerge/EQ_ltfiveEQ_odd/libA: equiv,23.0034  ; unknown,0.0000   ; equiv,42.2528  ; unknown,0.0200  
./nestedMerge/EQ_ltfiveEQ_pos/libA: equiv,27.9902  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_ltfiveEQ_pos2/libA: equiv,0.5031   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0600  
./nestedMerge/EQ_ltfiveEXTRA_ultra_prime_sum/libA: equiv,141.6695 ; unknown,0.0000   ; timeout,300.0000 ; timeout,300.0000
./nestedMerge/EQ_multipleBoundEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_multipleBoundEQ_is_prime2/libA: equiv,0.6200   ; unknown,0.0000   ; equiv,0.1813   ; unknown,0.0200  
./nestedMerge/EQ_multipleBoundEQ_odd/libA: equiv,12.3522  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_multipleBoundEQ_pos/libA: equiv,22.5343  ; unknown,0.0000   ; equiv,144.6545 ; unknown,0.0200  
./nestedMerge/EQ_multipleBoundEQ_pos2/libA: equiv,0.3563   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./nestedMerge/EQ_multipleBoundEXTRA_ultra_prime_sum/libA: equiv,75.0940  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.2300  
./nestedMerge/EQ_multipleEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_multipleEQ_is_prime2/libA: equiv,2.4040   ; unknown,0.0000   ; equiv,0.1632   ; unknown,0.0200  
./nestedMerge/EQ_multipleEQ_odd/libA: equiv,12.7154  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_multipleEQ_pos/libA: equiv,11.3234  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_multipleEQ_pos2/libA: equiv,0.3063   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0300  
./nestedMerge/EQ_multipleEXTRA_ultra_prime_sum/libA: equiv,75.0513  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.2900  
./nestedMerge/EQ_oddEQ_Add/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_oddEQ_Const/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_oddEQ_LoopMult20/libA: equiv,1.8532   ; unknown,0.0000   ; equiv,0.3665   ; timeout,300.0000
./nestedMerge/EQ_oddEQ_LoopUnreach20/libA: equiv,1.2133   ; unknown,0.0000   ; equiv,0.1439   ; equiv,0.0200  
