./multLibs/EQ_is_prime3/2           CC2-Hybrid: equiv    ,14.1508  (Solve) ,,12.667 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,1.8599  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime3/3           CC2-Hybrid: equiv    ,9.5992   (Solve) ,,5.397  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,16.6910 	llReve: unknown  ,0.0300  
./multLibs/EQ_is_prime3/4           CC2-Hybrid: equiv    ,14.4366  (Solve) ,,7.245  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0800  
./multLibs/EQ_is_prime3/5           CC2-Hybrid: equiv    ,23.3918  (Solve) ,,10.821 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0600  
./multLibs/EQ_is_prime3/6           CC2-Hybrid: equiv    ,31.6676  (Solve) ,,11.163 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0700  
./multLibs/EQ_is_prime3/7           CC2-Hybrid: equiv    ,46.9726  (Solve) ,,12.727 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0900  
./multLibs/EQ_is_prime3/8           CC2-Hybrid: equiv    ,69.0365  (Solve) ,,14.605 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.1000  
./multLibs/EQ_is_prime3/9           CC2-Hybrid: equiv    ,103.5390 (Solve) ,,16.490 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.1100  
./multLibs/EQ_ltfive/1              CC2-Hybrid: not equiv ,0.7802   (Solve) ,,0.396  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.2007  	llReve: equiv    ,0.0300  
./multLibs/EQ_ltfive/10             CC2-Hybrid: not equiv ,40.2953  (Solve) ,,33.674 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,253.3056	llReve: timeout  ,300.0000
./multLibs/EQ_ltfive/11             CC2-Hybrid: equiv    ,27.1948  (Solve) ,,10.180 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: timeout  ,300.0000
./multLibs/EQ_ltfive/12             CC2-Hybrid: equiv    ,55.6668  (Solve) ,,33.619 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: timeout  ,300.0000
./multLibs/EQ_ltfive/13             CC2-Hybrid: equiv    ,51.8200  (Solve) ,,27.294 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: timeout  ,300.0000
./multLibs/EQ_ltfive/14             CC2-Hybrid: equiv    ,30.2648  (Solve) ,,10.075 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: timeout  ,300.0000
./multLibs/EQ_ltfive/15             CC2-Hybrid: equiv    ,38.0442  (Solve) ,,10.429 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: timeout  ,300.0000
./multLibs/EQ_ltfive/2              CC2-Hybrid: equiv    ,19.1046  (Solve) ,,11.369 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,276.5036	llReve: equiv    ,38.9900 
Disagreement error: ./multLibs/EQ_ltfive/2
./multLibs/EQ_ltfive/3              CC2-Hybrid: equiv    ,17.4938  (Solve) ,,16.872 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.7141  	llReve: equiv    ,0.2600  
Disagreement error: ./multLibs/EQ_ltfive/3
./multLibs/EQ_ltfive/4              CC2-Hybrid: equiv    ,22.5004  (Solve) ,,21.551 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.8837  	llReve: equiv    ,1.0500  
Disagreement error: ./multLibs/EQ_ltfive/4
./multLibs/EQ_ltfive/5              CC2-Hybrid: not equiv ,8.2443   (Solve) ,,2.685  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,1.9853  	llReve: equiv    ,4.8800  
./multLibs/EQ_ltfive/6              CC2-Hybrid: not equiv ,8.6685   (Solve) ,,6.338  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,5.5602  	llReve: equiv    ,23.4800 
