./nestedMerge/EQ_multipleEQ_odd/libA: equiv,12.5489  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_multipleEQ_pos/libA: equiv,11.3398  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_multipleEQ_pos2/libA: equiv,0.3063   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0300  
./nestedMerge/EQ_multipleEXTRA_ultra_prime_sum/libA: equiv,75.2095  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.3000  
./nestedMerge/EQ_oddEQ_Add/libA: equiv,0.1795   ; unknown,0.0000   ; equiv,0.1056   ; equiv,0.0300  
./nestedMerge/EQ_oddEQ_Const/libA: equiv,0.1595   ; unknown,0.0000   ; equiv,0.1006   ; equiv,0.0300  
./nestedMerge/EQ_oddEQ_LoopMult20/libA: equiv,1.8489   ; unknown,0.0000   ; equiv,0.3628   ; timeout,300.0000
./nestedMerge/EQ_oddEQ_LoopUnreach20/libA: equiv,1.2378   ; unknown,0.0000   ; equiv,0.1456   ; equiv,0.0300  
./nestedMerge/EQ_oddEQ_UnchLoop/libA: equiv,40.3000  ; unknown,0.0000   ; equiv,0.1051   ; equiv,0.0900  
./nestedMerge/EQ_oddEQ_divide/libA: equiv,0.1791   ; unknown,0.0000   ; equiv,0.1449   ; equiv,0.0200  
./nestedMerge/EQ_oddEQ_getSign2/libA: equiv,0.9666   ; unknown,0.0000   ; equiv,0.1523   ; equiv,0.0200  
./nestedMerge/EQ_oddEQ_is_prime1/libA: equiv,1.0336   ; unknown,0.0000   ; equiv,0.0949   ; unknown,0.0100  
./nestedMerge/EQ_oddEQ_is_prime2/libA: not equiv,1.5519   ; unknown,0.0000   ; not equiv,0.7647   ; unknown,0.0200  
./nestedMerge/EQ_oddEQ_is_prime3/libA: equiv,2.3464   ; unknown,0.0000   ; equiv,0.7596   ; unknown,0.0200  
./nestedMerge/EQ_oddEQ_ltfive/libA: not equiv,0.6750   ; unknown,0.0000   ; not equiv,0.3311   ; equiv,0.0200  
./nestedMerge/EQ_oddEQ_ltfiveBound/libA: equiv,0.4615   ; unknown,0.0000   ; equiv,0.2858   ; equiv,0.0400  
./nestedMerge/EQ_oddEQ_multiple/libA: not equiv,0.4727   ; unknown,0.0000   ; not equiv,0.2317   ; equiv,0.0200  
./nestedMerge/EQ_oddEQ_multipleBound/libA: equiv,1.0860   ; unknown,0.0000   ; equiv,0.3272   ; equiv,0.0200  
./nestedMerge/EQ_oddEQ_odd/libA: equiv,12.5484  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_oddEQ_one/libA: not equiv,0.7729   ; unknown,0.0000   ; not equiv,0.2233   ; not equiv,0.0300  
./nestedMerge/EQ_oddEQ_oneBound/libA: equiv,0.4967   ; unknown,0.0000   ; equiv,0.2510   ; equiv,0.0400  
./nestedMerge/EQ_oddEQ_oneN2/libA: equiv,1.4332   ; unknown,0.0000   ; equiv,0.2170   ; equiv,0.0300  
./nestedMerge/EQ_oddEQ_pos/libA: equiv,11.3203  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_oddEQ_pos2/libA: equiv,0.3001   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0300  
./nestedMerge/EQ_oddEQ_pos3/libA: equiv,1.1759   ; unknown,0.0000   ; equiv,0.1440   ; equiv,0.0300  
./nestedMerge/EQ_oddEXTRA_ultra_prime_sum/libA: equiv,75.0805  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.1700  
