./mergedHard/EQ_is_prime2EQ_is_prime2/libA: equiv,1.3386  , unknown,0.0000  , unknown,0.0000  , equiv,1.2914  
./mergedHard/EQ_is_prime2EQ_is_prime2/libB: equiv,1.3785  , unknown,0.0000  , unknown,0.0000  , equiv,1.2763  
./mergedHard/EQ_is_prime2EQ_is_prime3/libA: equiv,2.2101  , unknown,0.0000  , unknown,0.0000  , equiv,0.0773  
./mergedHard/EQ_is_prime2EQ_is_prime3/libB: equiv,2.1703  , unknown,0.0000  , unknown,0.0000  , equiv,0.0770  
./mergedHard/EQ_is_prime2EQ_ltfive/libA: equiv,2.2819  , unknown,0.0010  , unknown,0.0000  , equiv,2.1432  
./mergedHard/EQ_is_prime2EQ_ltfive/libB: not equiv,0.6393  , equiv,3.7190  , unknown,0.0000  , not equiv,0.2344  
./mergedHard/EQ_is_prime2EQ_ltfiveBound/libA: equiv,1.0939  , unknown,0.0000  , unknown,0.0000  , equiv,0.9484  
./mergedHard/EQ_is_prime2EQ_ltfiveBound/libB: equiv,0.4211  , equiv,0.3170  , unknown,0.0000  , not equiv,0.1912  
./mergedHard/EQ_is_prime2EQ_multiple/libA: equiv,0.7688  , unknown,0.0000  , unknown,0.0000  , equiv,0.6415  
./mergedHard/EQ_is_prime2EQ_multiple/libB: not equiv,0.7353  , equiv,0.1210  , unknown,0.0000  , not equiv,0.2928  
./mergedHard/EQ_is_prime2EQ_multipleBound/libA: equiv,0.8106  , unknown,0.0000  , unknown,0.0000  , equiv,0.7261  
./mergedHard/EQ_is_prime2EQ_multipleBound/libB: not equiv,0.7315  , equiv,0.1720  , unknown,0.0000  , not equiv,0.2858  
./mergedHard/EQ_is_prime2EQ_odd/libA: equiv,1.5293  , unknown,0.0000  , unknown,0.0000  , equiv,1.3435  
./mergedHard/EQ_is_prime2EQ_odd/libB: not equiv,0.6538  , equiv,0.2990  , unknown,0.0000  , not equiv,0.4009  
./mergedHard/EQ_is_prime2EQ_one/libA: equiv,2.1806  , unknown,0.0000  , unknown,0.0000  , equiv,2.1471  
./mergedHard/EQ_is_prime2EQ_one/libB: not equiv,0.5472  , equiv,0.0730  , unknown,0.0000  , not equiv,0.1741  
./mergedHard/EQ_is_prime2EQ_oneBound/libA: equiv,2.0141  , unknown,0.0000  , unknown,0.0000  , equiv,2.0058  
./mergedHard/EQ_is_prime2EQ_oneBound/libB: equiv,0.3985  , equiv,0.1590  , unknown,0.0000  , not equiv,0.2040  
./mergedHard/EQ_is_prime2EQ_oneN2/libA: equiv,2.1887  , unknown,0.0000  , unknown,0.0000  , equiv,2.1418  
./mergedHard/EQ_is_prime2EQ_oneN2/libB: not equiv,0.5818  , equiv,0.0790  , unknown,0.0000  , not equiv,0.2045  
./mergedHard/EQ_is_prime2EQ_pos/libA: equiv,1.9238  , unknown,0.0000  , unknown,0.0000  , equiv,1.9549  
./mergedHard/EQ_is_prime2EQ_pos/libB: not equiv,0.6124  , not equiv,0.0730  , unknown,0.0000  , not equiv,0.2577  
./mergedHard/EQ_is_prime2EQ_pos2/libA: equiv,1.9239  , unknown,0.0000  , unknown,0.0000  , equiv,1.9600  
./mergedHard/EQ_is_prime2EQ_pos2/libB: equiv,16.6460 , not equiv,0.0670  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_is_prime2EXTRA_ultra_prime_sum/libA: equiv,2.8228  , unknown,0.0000  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_is_prime2EXTRA_ultra_prime_sum/libB: not equiv,43.1101 , not equiv,0.6510  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_is_prime2NEQ_LoopMult20/libA: equiv,1.0148  , unknown,0.0000  , unknown,0.0000  , equiv,0.9787  
./mergedHard/EQ_is_prime2NEQ_LoopMult20/libB: not equiv,0.6707  , not equiv,0.1010  , unknown,0.0000  , not equiv,0.1480  
./mergedHard/EQ_is_prime2NEQ_LoopUnreach20/libA: equiv,0.9806  , unknown,0.0000  , unknown,0.0000  , equiv,0.9796  
./mergedHard/EQ_is_prime2NEQ_LoopUnreach20/libB: not equiv,0.4945  , not equiv,0.0770  , unknown,0.0000  , not equiv,0.1468  
./mergedHard/EQ_is_prime2NEQ_getSign/libA: equiv,1.2704  , unknown,0.0000  , unknown,0.0000  , equiv,1.2171  
./mergedHard/EQ_is_prime2NEQ_getSign/libB: not equiv,0.5122  , equiv,0.0260  , unknown,0.0000  , not equiv,0.1613  
./mergedHard/EQ_is_prime3EQ_UnchLoop/libA: equiv,1.4840  , unknown,0.0000  , unknown,0.0000  , equiv,0.6949  
./mergedHard/EQ_is_prime3EQ_UnchLoop/libB: timeout,240.0000, not equiv,0.0830  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_is_prime3EQ_is_prime2/libA: equiv,3.9842  , unknown,0.0010  , unknown,0.0000  , equiv,1.3914  
./mergedHard/EQ_is_prime3EQ_is_prime2/libB: equiv,3.9978  , unknown,0.0000  , unknown,0.0000  , equiv,1.4146  
./mergedHard/EQ_is_prime3EQ_odd/libA: equiv,2.6152  , unknown,0.0000  , unknown,0.0000  , equiv,1.3998  
./mergedHard/EQ_is_prime3EQ_odd/libB: not equiv,43.0237 , not equiv,0.1590  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_is_prime3EQ_pos/libA: equiv,6.3416  , unknown,0.0010  , unknown,0.0000  , equiv,2.3304  
./mergedHard/EQ_is_prime3EQ_pos/libB: not equiv,1.6508  , not equiv,0.0270  , unknown,0.0000  , not equiv,38.6853 
./mergedHard/EQ_is_prime3EQ_pos2/libA: equiv,6.3651  , unknown,0.0010  , unknown,0.0000  , equiv,2.3279  
./mergedHard/EQ_is_prime3EQ_pos2/libB: equiv,49.7364 , not equiv,0.0250  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_is_prime3EXTRA_ultra_prime_sum/libA: equiv,2.3678  , unknown,0.0000  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_is_prime3EXTRA_ultra_prime_sum/libB: not equiv,208.7219, not equiv,0.6560  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_ltfiveBoundEQ_UnchLoop/libA: equiv,0.3270  , equiv,0.1000  , unknown,0.0000  , equiv,0.1645  
./mergedHard/EQ_ltfiveBoundEQ_UnchLoop/libB: timeout,240.0000, not equiv,0.1100  , unknown,0.0000  , equiv,24.5975 
./mergedHard/EQ_ltfiveBoundEQ_is_prime2/libA: equiv,0.4208  , equiv,0.3480  , unknown,0.0000  , not equiv,0.1897  
