./mergedHard/EQ_oneN2EXTRA_ultra_prime_sum/libA: not equiv,1.2700   ; unknown,0.0000   ; not equiv,0.3000   ; not equiv,0.0300  
./mergedHard/EQ_pos2EQ_Add/libA: equiv,0.3500   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.1400  
./mergedHard/EQ_pos2EQ_Const/libA: equiv,0.3500   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.1300  
./mergedHard/EQ_pos2EQ_LoopMult20/libA: equiv,0.3800   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./mergedHard/EQ_pos2EQ_LoopUnreach20/libA: equiv,0.3800   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0700  
./mergedHard/EQ_pos2EQ_UnchLoop/libA: equiv,0.3500   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.1100  
./mergedHard/EQ_pos2EQ_divide/libA: equiv,0.3900   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0800  
./mergedHard/EQ_pos2EQ_getSign2/libA: equiv,0.4200   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./mergedHard/EQ_pos2EQ_is_prime1/libA: equiv,0.3600   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0600  
./mergedHard/EQ_pos2EQ_is_prime2/libA: equiv,0.4400   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./mergedHard/EQ_pos2EQ_is_prime3/libA: equiv,11.9100  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0400  
./mergedHard/EQ_pos2EQ_ltfive/libA: equiv,0.5700   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.1000  
./mergedHard/EQ_pos2EQ_ltfiveBound/libA: equiv,0.4800   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.1100  
./mergedHard/EQ_pos2EQ_multiple/libA: equiv,0.3900   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0500  
./mergedHard/EQ_pos2EQ_multipleBound/libA: equiv,0.4400   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0900  
./mergedHard/EQ_pos2EQ_odd/libA: equiv,0.3800   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0500  
./mergedHard/EQ_pos2EQ_one/libA: equiv,0.5100   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.1300  
./mergedHard/EQ_pos2EQ_oneBound/libA: equiv,0.4500   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0900  
./mergedHard/EQ_pos2EQ_oneN2/libA: equiv,0.4300   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0900  
