./mergedHard/EQ_UnchLoopNEQ_LoopUnreach20/libB: not equiv,0.4960  , not equiv,0.5067  , not equiv,0.1247  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach5/libA: equiv,0.2362  , equiv,0.2427  , equiv,0.1828  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach5/libB: not equiv,0.4891  , not equiv,0.4750  , not equiv,0.1259  
./mergedHard/EQ_UnchLoopNEQ_getSign/libA: equiv,1.2934  , equiv,1.2677  , timeout,180.0000
./mergedHard/EQ_UnchLoopNEQ_getSign/libB: not equiv,0.3825  , not equiv,0.3620  , not equiv,0.1233  
./mergedHard/EQ_divideEQ_odd/libA: equiv,1.5822  , equiv,1.5774  , equiv,0.1489  
./mergedHard/EQ_divideEQ_odd/libB: not equiv,1.5892  , not equiv,1.6098  , not equiv,1.3614  
./mergedHard/EQ_divideEQ_pos/libA: equiv,2.0748  , equiv,2.0668  , equiv,0.1361  
./mergedHard/EQ_divideEQ_pos/libB: not equiv,0.6718  , not equiv,0.6728  , not equiv,0.2690  
./mergedHard/EQ_divideEQ_pos2/libA: equiv,2.0308  , equiv,2.0416  , equiv,0.1370  
./mergedHard/EQ_divideEQ_pos2/libB: equiv,7.5501  , equiv,7.5636  , timeout,180.0000
./mergedHard/EQ_divideEXTRA_prime_sum/libA: equiv,0.2942  , equiv,0.2921  , equiv,0.1479  
./mergedHard/EQ_divideEXTRA_prime_sum/libB: equiv,32.1509 , equiv,32.5089 , timeout,180.0000
./mergedHard/EQ_getSign2EQ_odd/libA: not equiv,0.4696  , not equiv,0.4469  , not equiv,0.1562  
./mergedHard/EQ_getSign2EQ_odd/libB: not equiv,1.3585  , not equiv,1.3829  , not equiv,3.1966  
./mergedHard/EQ_getSign2EQ_pos/libA: not equiv,0.5028  , not equiv,0.4884  , not equiv,0.1739  
./mergedHard/EQ_getSign2EQ_pos/libB: not equiv,0.7147  , not equiv,0.7141  , not equiv,0.2165  
./mergedHard/EQ_getSign2EQ_pos2/libA: not equiv,0.4888  , not equiv,0.4901  , not equiv,0.1736  
./mergedHard/EQ_getSign2EQ_pos2/libB: equiv,7.4594  , equiv,7.5008  , timeout,180.0000
./mergedHard/EQ_getSign2EXTRA_prime_sum/libA: equiv,1.7716  , equiv,1.7083  , timeout,180.0000
./mergedHard/EQ_getSign2EXTRA_prime_sum/libB: equiv,32.1686 , equiv,32.1841 , timeout,180.0000
./mergedHard/EQ_is_prime1EQ_odd/libA: equiv,0.1825  , equiv,0.1834  , not equiv,0.1923  
./mergedHard/EQ_is_prime1EQ_odd/libB: not equiv,1.1223  , not equiv,1.1491  , not equiv,0.6389  
./mergedHard/EQ_is_prime1EQ_pos/libA: equiv,0.2245  , equiv,0.2259  , equiv,1.1811  
./mergedHard/EQ_is_prime1EQ_pos/libB: not equiv,0.7871  , not equiv,0.7661  , not equiv,0.2285  
./mergedHard/EQ_is_prime1EQ_pos2/libA: equiv,0.2240  , equiv,0.2221  , equiv,1.1939  
./mergedHard/EQ_is_prime1EQ_pos2/libB: equiv,15.3006 , equiv,15.2104 , timeout,180.0000
./mergedHard/EQ_is_prime1EXTRA_prime_sum/libA: equiv,0.2912  , equiv,0.2941  , not equiv,0.1793  
./mergedHard/EQ_is_prime1EXTRA_prime_sum/libB: timeout,180.0000, timeout,180.0000, timeout,180.0000
./mergedHard/EQ_is_prime3EQ_odd/libA: equiv,0.4483  , equiv,0.4509  , not equiv,0.9528  
./mergedHard/EQ_is_prime3EQ_odd/libB: equiv,6.5675  , equiv,6.8814  , equiv,0.0944  
./mergedHard/EQ_is_prime3EQ_pos/libA: equiv,0.6919  , equiv,0.6780  , equiv,2.3079  
./mergedHard/EQ_is_prime3EQ_pos/libB: equiv,5.6529  , equiv,5.4819  , equiv,0.0941  
./mergedHard/EQ_is_prime3EQ_pos2/libA: equiv,0.6727  , equiv,1.1624  , equiv,2.1412  
./mergedHard/EQ_is_prime3EQ_pos2/libB: equiv,52.3781 , equiv,51.4593 , equiv,0.1185  
./mergedHard/EQ_is_prime3EXTRA_prime_sum/libA: equiv,0.4525  , equiv,0.4636  , not equiv,0.6158  
./mergedHard/EQ_is_prime3EXTRA_prime_sum/libB: timeout,180.0000, timeout,180.0000, equiv,0.0719  
./mergedHard/EQ_ltfiveBoundEQ_odd/libA: not equiv,1.4567  , not equiv,1.4860  , not equiv,0.1675  
./mergedHard/EQ_ltfiveBoundEQ_odd/libB: not equiv,1.2547  , not equiv,1.2551  , timeout,180.0000
./mergedHard/EQ_ltfiveBoundEQ_pos/libA: not equiv,1.4750  , not equiv,1.5001  , not equiv,0.1699  
./mergedHard/EQ_ltfiveBoundEQ_pos/libB: not equiv,1.0397  , not equiv,1.0143  , not equiv,0.5113  
./mergedHard/EQ_ltfiveBoundEQ_pos2/libA: not equiv,1.4850  , not equiv,1.4708  , not equiv,0.1716  
./mergedHard/EQ_ltfiveBoundEQ_pos2/libB: equiv,15.3627 , equiv,15.2756 , timeout,180.0000
./mergedHard/EQ_ltfiveBoundEXTRA_prime_sum/libA: equiv,10.7499 , equiv,10.8385 , timeout,180.0000
./mergedHard/EQ_ltfiveBoundEXTRA_prime_sum/libB: equiv,34.2420 , equiv,34.2350 , not equiv,115.6082
./mergedHard/EQ_ltfiveEQ_odd/libA: not equiv,1.4021  , not equiv,1.4104  , not equiv,0.1888  
./mergedHard/EQ_ltfiveEQ_odd/libB: not equiv,1.6521  , not equiv,1.6633  , not equiv,13.9058 
./mergedHard/EQ_ltfiveEQ_pos/libA: not equiv,1.2869  , not equiv,1.2669  , not equiv,0.1955  
./mergedHard/EQ_ltfiveEQ_pos/libB: not equiv,1.2332  , not equiv,1.2399  , not equiv,0.3065  
./mergedHard/EQ_ltfiveEQ_pos2/libA: not equiv,1.2647  , not equiv,1.2748  , not equiv,0.1947  
./mergedHard/EQ_ltfiveEQ_pos2/libB: equiv,14.4632 , equiv,14.3760 , timeout,180.0000
./mergedHard/EQ_ltfiveEXTRA_prime_sum/libA: not equiv,1.8619  , not equiv,1.8723  , not equiv,0.1834  
./mergedHard/EQ_ltfiveEXTRA_prime_sum/libB: equiv,34.8957 , equiv,35.0121 , timeout,180.0000
./mergedHard/EQ_multipleBoundEQ_odd/libA: not equiv,0.7940  , not equiv,0.8206  , not equiv,0.4183  
./mergedHard/EQ_multipleBoundEQ_odd/libB: equiv,2.4850  , equiv,2.4765  , timeout,180.0000
./mergedHard/EQ_multipleBoundEQ_pos/libA: not equiv,0.8930  , not equiv,0.9014  , not equiv,0.2311  
./mergedHard/EQ_multipleBoundEQ_pos/libB: not equiv,0.7524  , not equiv,0.7678  , not equiv,0.6478  
./mergedHard/EQ_multipleBoundEQ_pos2/libA: not equiv,0.8932  , not equiv,0.8803  , not equiv,0.2362  
./mergedHard/EQ_multipleBoundEQ_pos2/libB: equiv,7.6599  , equiv,7.6581  , timeout,180.0000
./mergedHard/EQ_multipleBoundEXTRA_prime_sum/libA: not equiv,2.5622  , not equiv,2.5464  , not equiv,0.3492  
./mergedHard/EQ_multipleBoundEXTRA_prime_sum/libB: equiv,50.7699 , equiv,50.7205 , timeout,180.0000
./mergedHard/EQ_multipleEQ_odd/libA: not equiv,0.6623  , not equiv,0.6394  , not equiv,0.3541  
