./mergedHard/EQ_ltfiveEQ_pos/libA: not equiv,0.7662   ; unknown,0.0000   ; not equiv,0.2332   ; not equiv,0.0400  
./mergedHard/EQ_ltfiveEQ_pos2/libA: not equiv,0.7704   ; unknown,0.0000   ; not equiv,0.2324   ; not equiv,0.0400  
./mergedHard/EQ_ltfiveEXTRA_ultra_prime_sum/libA: not equiv,1.1381   ; unknown,0.0000   ; not equiv,0.2248   ; not equiv,0.0300  
./mergedHard/EQ_multipleBoundEQ_UnchLoop/libA: not equiv,0.6953   ; unknown,0.0000   ; not equiv,0.2246   ; not equiv,0.0200  
./mergedHard/EQ_multipleBoundEQ_is_prime2/libA: not equiv,0.8051   ; unknown,0.0000   ; not equiv,0.3538   ; not equiv,0.0300  
./mergedHard/EQ_multipleBoundEQ_odd/libA: not equiv,1.0001   ; unknown,0.0000   ; not equiv,0.3524   ; not equiv,0.0300  
./mergedHard/EQ_multipleBoundEQ_pos/libA: not equiv,0.8937   ; unknown,0.0000   ; not equiv,0.4686   ; not equiv,0.0500  
./mergedHard/EQ_multipleBoundEQ_pos2/libA: not equiv,0.8940   ; unknown,0.0000   ; not equiv,0.4693   ; not equiv,0.0400  
./mergedHard/EQ_multipleBoundEXTRA_ultra_prime_sum/libA: equiv,43.8394  ; unknown,0.0000   ; timeout,300.0000 ; equiv,0.0500  
./mergedHard/EQ_multipleEQ_UnchLoop/libA: not equiv,0.6934   ; unknown,0.0000   ; not equiv,0.2216   ; not equiv,0.0200  
./mergedHard/EQ_multipleEQ_is_prime2/libA: not equiv,0.7827   ; unknown,0.0000   ; not equiv,0.3006   ; not equiv,0.0200  
./mergedHard/EQ_multipleEQ_odd/libA: not equiv,1.0075   ; unknown,0.0000   ; not equiv,0.3760   ; not equiv,0.0200  
./mergedHard/EQ_multipleEQ_pos/libA: not equiv,0.8550   ; unknown,0.0000   ; not equiv,0.3073   ; not equiv,0.0200  
./mergedHard/EQ_multipleEQ_pos2/libA: not equiv,0.8488   ; unknown,0.0000   ; not equiv,0.3049   ; not equiv,0.0200  
./mergedHard/EQ_multipleEXTRA_ultra_prime_sum/libA: not equiv,1.1468   ; unknown,0.0000   ; not equiv,0.2695   ; equiv,0.0400  
./mergedHard/EQ_oddEQ_Add/libA: equiv,11.6761  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./mergedHard/EQ_oddEQ_Const/libA: equiv,11.6992  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./mergedHard/EQ_oddEQ_LoopMult20/libA: not equiv,1.1363   ; unknown,0.0000   ; not equiv,0.5078   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_LoopUnreach20/libA: not equiv,1.1000   ; unknown,0.0000   ; not equiv,0.5071   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_UnchLoop/libA: equiv,11.6739  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./mergedHard/EQ_oddEQ_divide/libA: not equiv,1.0812   ; unknown,0.0000   ; not equiv,0.7036   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_getSign2/libA: not equiv,1.3374   ; unknown,0.0000   ; not equiv,0.7617   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_is_prime1/libA: not equiv,1.0549   ; unknown,0.0000   ; not equiv,0.6482   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_is_prime2/libA: not equiv,0.9473   ; unknown,0.0000   ; not equiv,0.4644   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_is_prime3/libA: not equiv,18.4111  ; unknown,0.0000   ; not equiv,18.9669  ; unknown,0.0200  
./mergedHard/EQ_oddEQ_ltfive/libA: not equiv,4.3163   ; unknown,0.0000   ; not equiv,3.1541   ; unknown,0.0200  
./mergedHard/EQ_oddEQ_ltfiveBound/libA: not equiv,3.0676   ; unknown,0.0000   ; not equiv,2.3008   ; unknown,0.0200  
