./mergedHard_CallMerge/EQ_pos2EQ_ltfive/libB: not equiv,0.5866   ; unknown,0.0000   ; not equiv,0.1682  
./mergedHard_CallMerge/EQ_pos2EQ_ltfiveBound/libA: equiv,32.2692  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_pos2EQ_ltfiveBound/libB: not equiv,0.6457   ; unknown,0.0000   ; not equiv,0.1914  
./mergedHard_CallMerge/EQ_pos2EQ_multiple/libA: equiv,65.0580  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_pos2EQ_multiple/libB: equiv,57.2035  ; unknown,0.0000   ; equiv,40.0914 
./mergedHard_CallMerge/EQ_pos2EQ_multipleBound/libA: equiv,33.0556  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_pos2EQ_multipleBound/libB: equiv,15.4410  ; unknown,0.0000   ; equiv,5.2645  
./mergedHard_CallMerge/EQ_pos2EQ_odd/libA: equiv,18.2913  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_pos2EQ_odd/libB: not equiv,4.7210   ; unknown,0.0000   ; not equiv,3.4681  
./mergedHard_CallMerge/EQ_pos2EQ_one/libA: equiv,28.1394  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_pos2EQ_one/libB: not equiv,0.6609   ; unknown,0.0000   ; not equiv,0.1919  
./mergedHard_CallMerge/EQ_pos2EQ_oneBound/libA: equiv,33.7587  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_pos2EQ_oneBound/libB: not equiv,0.8074   ; unknown,0.0000   ; not equiv,0.2832  
./mergedHard_CallMerge/EQ_pos2EQ_oneN2/libA: equiv,26.9313  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_pos2EQ_oneN2/libB: not equiv,0.6806   ; unknown,0.0000   ; not equiv,0.2203  
./mergedHard_CallMerge/EQ_pos2EQ_pos/libA: equiv,25.8062  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_pos2EQ_pos/libB: equiv,14.0152  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_pos2EQ_pos2/libA: equiv,26.4522  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_pos2EQ_pos2/libB: equiv,26.0390  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_pos2EXTRA_ultra_prime_sum/libA: equiv,44.5257  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_pos2EXTRA_ultra_prime_sum/libB: equiv,87.5024  ; unknown,0.0000   ; equiv,0.1863  
./mergedHard_CallMerge/EQ_pos2NEQ_LoopMult20/libA: equiv,18.1721  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_pos2NEQ_LoopMult20/libB: equiv,0.2885   ; unknown,0.0000   ; equiv,0.1266  
./mergedHard_CallMerge/EQ_pos2NEQ_LoopUnreach20/libA: equiv,18.1868  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_pos2NEQ_LoopUnreach20/libB: equiv,0.9854   ; unknown,0.0000   ; equiv,0.1480  
./mergedHard_CallMerge/EQ_pos2NEQ_getSign/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_pos2NEQ_getSign/libB: not equiv,0.4774   ; unknown,0.0000   ; not equiv,0.1660  
./mergedHard_CallMerge/EQ_posEQ_Add/libA: not equiv,0.4787   ; unknown,0.0000   ; not equiv,0.1886  
./mergedHard_CallMerge/EQ_posEQ_Add/libB: equiv,0.1990   ; unknown,0.0000   ; equiv,0.1038  
./mergedHard_CallMerge/EQ_posEQ_Const/libA: not equiv,0.4786   ; unknown,0.0000   ; not equiv,0.1872  
./mergedHard_CallMerge/EQ_posEQ_Const/libB: equiv,0.2053   ; unknown,0.0000   ; equiv,0.1033  
./mergedHard_CallMerge/EQ_posEQ_LoopMult20/libA: not equiv,2.1006   ; unknown,0.0000   ; not equiv,1.2014  
./mergedHard_CallMerge/EQ_posEQ_LoopMult20/libB: equiv,0.2858   ; unknown,0.0000   ; equiv,0.1274  
./mergedHard_CallMerge/EQ_posEQ_LoopUnreach20/libA: not equiv,2.1370   ; unknown,0.0000   ; not equiv,1.2088  
./mergedHard_CallMerge/EQ_posEQ_LoopUnreach20/libB: equiv,0.3128   ; unknown,0.0000   ; equiv,0.1476  
./mergedHard_CallMerge/EQ_posEQ_UnchLoop/libA: not equiv,0.4823   ; unknown,0.0000   ; not equiv,0.1877  
./mergedHard_CallMerge/EQ_posEQ_UnchLoop/libB: equiv,0.2215   ; unknown,0.0000   ; equiv,0.1148  
./mergedHard_CallMerge/EQ_posEQ_divide/libA: not equiv,0.6805   ; unknown,0.0000   ; not equiv,0.3027  
./mergedHard_CallMerge/EQ_posEQ_divide/libB: equiv,0.3234   ; unknown,0.0000   ; equiv,0.1842  
./mergedHard_CallMerge/EQ_posEQ_getSign2/libA: not equiv,0.7171   ; unknown,0.0000   ; not equiv,0.3121  
./mergedHard_CallMerge/EQ_posEQ_getSign2/libB: not equiv,0.4843   ; unknown,0.0000   ; not equiv,0.1649  
./mergedHard_CallMerge/EQ_posEQ_is_prime1/libA: not equiv,0.5826   ; unknown,0.0000   ; not equiv,0.2634  
./mergedHard_CallMerge/EQ_posEQ_is_prime1/libB: equiv,1.3085   ; unknown,0.0000   ; equiv,1.2322  
./mergedHard_CallMerge/EQ_posEQ_is_prime2/libA: not equiv,0.6201   ; unknown,0.0000   ; not equiv,0.2126  
./mergedHard_CallMerge/EQ_posEQ_is_prime2/libB: equiv,1.5525   ; unknown,0.0000   ; equiv,1.3314  
./mergedHard_CallMerge/EQ_posEQ_is_prime3/libA: equiv,23.0772  ; unknown,0.0000   ; equiv,0.0874  
./mergedHard_CallMerge/EQ_posEQ_is_prime3/libB: equiv,2.2670   ; unknown,0.0000   ; equiv,0.0781  
./mergedHard_CallMerge/EQ_posEQ_ltfive/libA: not equiv,0.6374   ; unknown,0.0000   ; not equiv,0.2136  
./mergedHard_CallMerge/EQ_posEQ_ltfive/libB: not equiv,0.5448   ; unknown,0.0000   ; not equiv,0.1598  
./mergedHard_CallMerge/EQ_posEQ_ltfiveBound/libA: not equiv,0.7836   ; unknown,0.0000   ; not equiv,0.2741  
./mergedHard_CallMerge/EQ_posEQ_ltfiveBound/libB: not equiv,0.5923   ; unknown,0.0000   ; not equiv,0.1818  
./mergedHard_CallMerge/EQ_posEQ_multiple/libA: not equiv,0.6717   ; unknown,0.0000   ; not equiv,0.2857  
./mergedHard_CallMerge/EQ_posEQ_multiple/libB: equiv,75.8204  ; unknown,0.0000   ; equiv,41.4214 
./mergedHard_CallMerge/EQ_posEQ_multipleBound/libA: not equiv,0.8221   ; unknown,0.0000   ; not equiv,0.3370  
./mergedHard_CallMerge/EQ_posEQ_multipleBound/libB: equiv,12.4386  ; unknown,0.0000   ; equiv,4.4936  
./mergedHard_CallMerge/EQ_posEQ_odd/libA: not equiv,0.6695   ; unknown,0.0000   ; not equiv,0.2713  
./mergedHard_CallMerge/EQ_posEQ_odd/libB: not equiv,4.0789   ; unknown,0.0000   ; not equiv,3.1684  
./mergedHard_CallMerge/EQ_posEQ_one/libA: equiv,14.4351  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_posEQ_one/libB: not equiv,0.6526   ; unknown,0.0000   ; not equiv,0.1906  
./mergedHard_CallMerge/EQ_posEQ_oneBound/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_posEQ_oneBound/libB: not equiv,0.7384   ; unknown,0.0000   ; not equiv,0.2635  
./mergedHard_CallMerge/EQ_posEQ_oneN2/libA: equiv,14.4584  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_posEQ_oneN2/libB: not equiv,0.6636   ; unknown,0.0000   ; not equiv,0.2166  
./mergedHard_CallMerge/EQ_posEQ_pos/libA: equiv,13.9677  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_posEQ_pos/libB: equiv,13.9996  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_posEQ_pos2/libA: equiv,14.0614  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_posEQ_pos2/libB: equiv,25.5360  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_posEXTRA_ultra_prime_sum/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_posEXTRA_ultra_prime_sum/libB: equiv,86.7762  ; unknown,0.0000   ; equiv,0.1834  
./mergedHard_CallMerge/EQ_posNEQ_LoopMult20/libA: not equiv,3.0347   ; unknown,0.0000   ; not equiv,1.7231  
./mergedHard_CallMerge/EQ_posNEQ_LoopMult20/libB: equiv,0.3482   ; unknown,0.0000   ; equiv,0.1638  
./mergedHard_CallMerge/EQ_posNEQ_LoopUnreach20/libA: not equiv,3.0495   ; unknown,0.0000   ; not equiv,1.7259  
./mergedHard_CallMerge/EQ_posNEQ_LoopUnreach20/libB: equiv,1.2451   ; unknown,0.0000   ; equiv,0.1902  
./mergedHard_CallMerge/EQ_posNEQ_getSign/libA: not equiv,0.7647   ; unknown,0.0000   ; not equiv,0.3530  
./mergedHard_CallMerge/EQ_posNEQ_getSign/libB: not equiv,0.5934   ; unknown,0.0000   ; not equiv,0.2168  
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_Add/libA: not equiv,50.4973  ; unknown,0.0000   ; not equiv,0.1420  
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_Add/libB: equiv,0.2758   ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_Const/libA: not equiv,49.5693  ; unknown,0.0000   ; not equiv,0.1411  
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_Const/libB: equiv,0.2764   ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_LoopMult20/libA: equiv,48.3650  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_LoopMult20/libB: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
