./mergedHard_CallMerge/EQ_ltfiveBoundEQ_UnchLoop/libB: timeout,300.0000 ; unknown,0.0000   ; equiv,24.5959 
./mergedHard_CallMerge/EQ_ltfiveBoundEQ_is_prime2/libA: timeout,300.0000 ; unknown,0.0000   ; not equiv,0.3089  
./mergedHard_CallMerge/EQ_ltfiveBoundEQ_is_prime2/libB: equiv,1.9532   ; unknown,0.0000   ; equiv,1.7765  
./mergedHard_CallMerge/EQ_ltfiveBoundEQ_odd/libA: not equiv,0.6823   ; unknown,0.0000   ; not equiv,0.2535  
./mergedHard_CallMerge/EQ_ltfiveBoundEQ_odd/libB: not equiv,11.4949  ; unknown,0.0000   ; not equiv,27.2020 
./mergedHard_CallMerge/EQ_ltfiveBoundEQ_pos/libA: not equiv,0.7243   ; unknown,0.0000   ; not equiv,0.2849  
./mergedHard_CallMerge/EQ_ltfiveBoundEQ_pos/libB: not equiv,1.1805   ; unknown,0.0000   ; not equiv,0.5653  
./mergedHard_CallMerge/EQ_ltfiveBoundEQ_pos2/libA: not equiv,0.6918   ; unknown,0.0000   ; not equiv,0.2846  
./mergedHard_CallMerge/EQ_ltfiveBoundEQ_pos2/libB: equiv,32.8640  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_ltfiveBoundEXTRA_ultra_prime_sum/libA: not equiv,3.9600   ; unknown,0.0000   ; not equiv,0.2451  
./mergedHard_CallMerge/EQ_ltfiveBoundEXTRA_ultra_prime_sum/libB: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_ltfiveEQ_UnchLoop/libA: equiv,2.9914   ; unknown,0.0000   ; equiv,0.1894  
./mergedHard_CallMerge/EQ_ltfiveEQ_UnchLoop/libB: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_ltfiveEQ_is_prime2/libA: timeout,300.0000 ; unknown,0.0000   ; not equiv,0.6135  
./mergedHard_CallMerge/EQ_ltfiveEQ_is_prime2/libB: equiv,2.2574   ; unknown,0.0000   ; equiv,1.7284  
