./mergedHard/EQ_multipleEQ_UnchLoop/libA: not equiv,0.6597   ; not equiv,1.2246   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_multipleEQ_odd/libA: not equiv,1.0005   ; not equiv,1.5635   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_multipleEQ_pos/libA: not equiv,0.8596   ; not equiv,1.4614   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_multipleEQ_pos2/libA: not equiv,0.8524   ; not equiv,1.3940   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_multipleEXTRA_ultra_prime_sum/libA: not equiv,1.1513   ; not equiv,1.7745   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEQ_Add/libA: equiv,11.6652  ; equiv,12.3498  ; equiv,11.8726  ; unknown,0.0000  
./mergedHard/EQ_oddEQ_Const/libA: equiv,11.6919  ; equiv,12.2902  ; equiv,11.8291  ; unknown,0.0000  
./mergedHard/EQ_oddEQ_LoopMult20/libA: not equiv,1.1264   ; not equiv,1.6351   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEQ_LoopUnreach20/libA: not equiv,1.0996   ; not equiv,1.5886   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEQ_UnchLoop/libA: equiv,11.6739  ; equiv,12.2780  ; equiv,11.8707  ; unknown,0.0000  
./mergedHard/EQ_oddEQ_divide/libA: not equiv,1.0829   ; not equiv,1.6223   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEQ_getSign2/libA: not equiv,1.3120   ; not equiv,1.9158   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEQ_is_prime1/libA: not equiv,1.0155   ; not equiv,1.5093   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEQ_is_prime2/libA: not equiv,0.9173   ; not equiv,1.5051   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEQ_is_prime3/libA: not equiv,18.9850  ; not equiv,7.1798   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEQ_ltfive/libA: not equiv,4.8664   ; not equiv,4.7612   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEQ_ltfiveBound/libA: not equiv,3.0248   ; not equiv,3.5678   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEQ_multiple/libA: equiv,12.9844  ; equiv,13.5454  ; equiv,13.0409  ; unknown,0.0000  
./mergedHard/EQ_oddEQ_multipleBound/libA: equiv,13.5155  ; equiv,14.0569  ; equiv,13.5453  ; unknown,0.0000  
./mergedHard/EQ_oddEQ_odd/libA: equiv,12.8976  ; timeout,300.0000 ; timeout,300.0000 ; unknown,0.0000  
